,Transaction Date,Description,Amount,Category,Bank
106,2024-06-23,SHISO SUSHI BAR,21.35,Food & Drink,Chase
107,2024-06-22,RAISING CANES 0625 MOB,19.76,Food & Drink,Chase
108,2024-06-22,COCOS OF GARDEN GROVE 531,45.21,Food & Drink,Chase
109,2024-06-22,SQ *LUV FISH,34.52,Food & Drink,Chase
110,2024-06-22,DLR WORLD OF DISNEY,77.57,Merchandise,CO
111,2024-06-22,DLR EMPORIUM,19.38,Merchandise,CO
112,2024-06-22,TARGET        00001925,2.19,Merchandise,CO
113,2024-06-21,COCOS OF GARDEN GROVE 531GARDEN GROVE CA,29.12,,Citi
114,2024-06-20,DLR SCHMOOZIES,7.32,Food & Drink,Chase
115,2024-06-20,TT* ANAHEIMRES JUN20 4159186628 CA,32.0,Travel/ Entertainment,Discover
116,2024-06-20,DLR PIXARTURKEYCART,14.0,Food & Drink,Chase
117,2024-06-19,URBAN PLATES #9,26.58,Food & Drink,Chase
118,2024-06-19,MCDONALD'S F22694,2.15,Food & Drink,Chase
119,2024-06-19,DLR WORLD OF DISNEY,29.08,Shopping,Chase
120,2024-06-19,SHELL OIL13010257015 CASTAIC CA,29.72,,Citi
121,2024-06-18,COSTCO GAS #0129 SANTA CLARA CA,10.0,,Citi
122,2024-06-18,SKILLETZ,53.45,Food & Drink,Chase
123,2024-06-17,COSTCO GAS #0423 SUNNYVALE CA,28.37,,Citi
124,2024-06-17,STARBUCKS 800-782-7282 800-782-7282 WA,10.0,,BOA
125,2024-06-17,COSTCO WHSE #0423 SUNNYVALE CA,67.0,,Citi
126,2024-06-17,COSTCO WHSE #0423 SUNNYVALE CA,3.81,,Citi
127,2024-06-16,SNACK* SHARETEA 2855 S,6.75,Food & Drink,Chase
128,2024-06-16,LION FOOD CENTER SAN JOSE CA,9.58,,Citi
129,2024-06-16,DAISO BA12 SARATOGA,1.91,Merchandise,CO
130,2024-06-16,AMZN Mktp US*MS5PZ85E3,23.1,Shopping,Chase
131,2024-06-16,SMART TEA,14.33,Dining,CO
132,2024-06-15,PANDA EXPRESS #1860,30.0,Food & Drink,Chase
133,2024-06-15,Lillians Italian Kitch,79.0,Food & Drink,Chase
134,2024-06-15,TAPS PAYMASTER STN #26 SANTA CRUZ CA,5.45,,BOA
135,2024-06-15,LAZ PARKING M18387-WC,2.0,Gas/Automotive,CO
136,2024-06-15,99 RANCH #1768 CUPERTINO CA,6.73,,Citi
137,2024-06-14,TST* CHARLIE HONG KONG,10.43,Food & Drink,Chase
138,2024-06-14,STARBUCKS 800-782-7282,10.0,Dining,CO
139,2024-06-13,GOBI MONGOLIAN BBQ,28.39,Food & Drink,Chase
140,2024-06-13,DISNEYLAND TICKETS 714-781-4669 CA,598.0,,BOA
141,2024-06-12,COTHTL,100.0,Other Travel,CO
142,2024-06-11,Payment Thank You - Web,591.68,,Chase
143,2024-06-11,"ONLINE PAYMENT, THANK YOU",,,Citi
144,2024-06-09,MITSUWA MARKETPLACE SJ,13.78,Groceries,Chase
145,2024-06-09,COSTCO GAS #0423 SUNNYVALE CA,32.01,,Citi
146,2024-06-08,SCU RECREATION CENTER,100.0,Other,CO
147,2024-06-08,BB* BB.Q CHICKEN (MILP,36.07,Food & Drink,Chase
148,2024-06-04,TST* UDON MUGIZO - SAN JO,95.12,Food & Drink,Chase
149,2024-06-03,COSTCO WHSE #0149 SANTA CRUZ CA,15.48,,Citi
150,2024-06-03,MICROSOFT*STORE MSBILL.INFO WA,14.99,,BOA
151,2024-06-03,COSTCO WHSE #0149 SANTA CRUZ CA,4.06,,Citi
152,2024-06-02,SUSHI TOTORO,65.1,Food & Drink,Chase
153,2024-06-02,SAFEWAY #2607 SANTA CRUZ CAAPPLE PAY ENDING IN 0143,37.35,Supermarkets,Discover
154,2024-06-02,THE TEA ZONE &amp; FRUIT BAR,12.65,Food & Drink,Chase
155,2024-06-01,TRADER JOE S #193,6.54,Merchandise,CO
156,2024-06-01,SQ *PONO HAWAIIAN GRILL,50.26,Food & Drink,Chase
157,2024-05-31,SANTA CRUZ PAY BY PHONE,2.65,Gas/Automotive,CO
158,2024-05-31,SANTA CRUZ PAY BY PHONE,2.65,Gas/Automotive,CO
159,2024-05-31,AMZN Mktp US*426857E13,44.08,Shopping,Chase
160,2024-05-31,STARBUCKS 800-782-7282,10.0,Food & Drink,Chase
161,2024-05-30,TACO BELL 30740,9.6,Food & Drink,Chase
162,2024-05-29,COSTCO GAS #1660 NEWARK CA,39.62,,Citi
163,2024-05-29,TRADER JOE S #077 FREMONT CA,10.78,,Citi
164,2024-05-25,SQ *FUGETSU SAN JOSE,54.68,Food & Drink,Chase
165,2024-05-23,99 RANCH #1768,13.62,Merchandise,CO
166,2024-05-21,COSTCO GAS #0778 FREMONT CA,36.54,,Citi
167,2024-05-21,RED POT,80.13,Food & Drink,Chase
168,2024-05-21,UEP*DUAN CHUN ZHEN NOODLE,50.2,Dining,CO
169,2024-05-21,McDonalds 12580,6.66,Food & Drink,Chase
170,2024-05-20,TST* PARIS BAGUETTE - SAN,15.38,Food & Drink,Chase
171,2024-05-19,SQ *GOCHI. �� MOUNTAIN VI,91.1,Food & Drink,Chase
172,2024-05-19,LAZ PARKING M18387-WC,2.0,Travel,Chase
173,2024-05-19,SNACK* SHARETEA 2855 S,6.75,Dining,CO
174,2024-05-18,BOILING POINT- FREMONT,167.78,Food & Drink,Chase
175,2024-05-18,MCDONALD'S F17400,3.75,Dining,CO
176,2024-05-18,STARBUCKS 800-782-7282,15.0,Dining,CO
177,2024-05-17,TAPS PAYMASTER STN #26,5.45,Gas/Automotive,CO
178,2024-05-17,CVS/PHARMACY #09234,19.45,Health Care,CO
179,2024-05-17,944 GREAT CLIPS AT OSGOOD,27.0,Other Services,CO
180,2024-05-15,CAPITAL ONE MOBILE PYMT,,Payment/Credit,CO
181,2024-05-15,COSTCO GAS #0778 FREMONT CA,39.15,,Citi
182,2024-05-14,CHIPOTLE 3005,12.24,Food & Drink,Chase
183,2024-05-12,TOMISUSHI SAN JOSE CA,50.1,,Citi
184,2024-05-12,SUPER KYO-PO PLAZA.,13.96,Merchandise,CO
185,2024-05-12,McDonalds 34947,7.63,Dining,CO
186,2024-05-11,SPECIAL NOODLE,54.11,Dining,CO
187,2024-05-07,COSTCO WHSE #0778 FREMONT CA,68.81,,Citi
188,2024-05-07,COSTCO GAS #0778 FREMONT CA,40.05,,Citi
189,2024-05-07,COSTCO WHSE #0778 FREMONT CA,6.05,,Citi
190,2024-05-05,RANTEI JAPANESE CUISINE,213.95,Food & Drink,Chase
191,2024-05-05,"ONLINE PAYMENT, THANK YOU",,,Citi
192,2024-05-03,INTERNET PAYMENT - THANK YOU,329.27,Payments and Credits,Discover
193,2024-05-03,SARKU JAPAN 133,27.31,Food & Drink,Chase
194,2024-05-03,Costco Annual Membership Renewal 1-800-7,60.0,,Citi
195,2024-04-30,SGD TOFU HOUSE,81.33,Food & Drink,Chase
196,2024-04-28,UNION GAS SAN JOSE CAAPPLE PAY ENDING IN 0143,42.85,Gasoline,Discover
197,2024-04-28,AMZN Mktp US*W710N7873,29.76,Shopping,Chase
198,2024-04-27,CHEUNG HING RESTAURANT MILPITAS CA,95.05,,Citi
199,2024-04-19,COSTCO GAS #0149 SANTA CRUZ CA,43.0,,Citi
200,2024-04-18,TOGGLE INSURANCE WOODLANDHILLSCA,52.08,Payments and Credits,Discover
201,2024-04-16,PAYMENT - THANK YOU,118.0,,BOA
202,2024-04-16,"ONLINE PAYMENT, THANK YOU",,,Citi
203,2024-04-09,COSTCO GAS #0778 FREMONT CA,39.22,,Citi
204,2024-04-01,COSTCO GAS #0778 FREMONT CA,36.9,,Citi
205,2024-03-26,INTUIT *TURBOTAX 800-446-8848 CA,118.0,,BOA
206,2024-03-25,COSTCO GAS #0423 SUNNYVALE CA,27.12,,Citi
207,2024-03-25,INTERNET PAYMENT - THANK YOU,74.76,Payments and Credits,Discover
208,2024-03-23,TOGGLE INSURANCE WOODLANDHILLSCA,338.5,Services,Discover
209,2024-03-21,TIFFANY'S BEAUTY SALON,25.0,Personal,Chase
210,2024-03-19,TRADER JOE S #232,7.98,Groceries,Chase
211,2024-03-18,MITSUWA MRKTPLACE SJ,59.65,Groceries,Chase
212,2024-03-18,TRADER JOE S #062,8.14,Groceries,Chase
213,2024-03-17,SAFEWAY #0767,8.91,Groceries,Chase
214,2024-03-16,COSTCO WHSE #0149 SANTA CRUZ CA,16.99,,Citi
215,2024-03-16,COSTCO GAS #0149 SANTA CRUZ CA,34.07,,Citi
216,2024-03-16,COSTCO WHSE #0149 SANTA CRUZ CA,2.72,,Citi
217,2024-03-12,BERKELEY ER MED GROUP INC,338.0,Health & Wellness,Chase
218,2024-03-11,"ONLINE PAYMENT, THANK YOU",,,Citi
219,2024-03-11,HOTELSCOM7205346930219 HOTELS.COM WA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,,Citi
220,2024-03-10,SQ *PONO HAWAIIAN GRIL SANTA CRUZ CAAPPLE PAY ENDING IN 01430001152921513761743824,17.48,Travel/ Entertainment,Discover
221,2024-03-09,PEET'S #12002 SAN JOSE CAAPPLE PAY ENDING IN 014300969R,6.05,Restaurants,Discover
222,2024-03-09,CVS/PHARMACY #09331,37.68,Health & Wellness,Chase
223,2024-03-09,IN-N-OUT SAN JOSE 2 SAN JOSE CAAPPLE PAY ENDING IN 014300928R,6.4,Restaurants,Discover
224,2024-03-08,BOILING POINT- FREMONT FREMONT CAAPPLE PAY ENDING IN 0143,11.22,Restaurants,Discover
225,2024-03-07,HOTELSCOM7205346930219 HOTELS.COM WA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,264.31,,Citi
226,2024-03-06,CHIPOTLE ONLINE 949-524-4000 CAAPPLE PAY ENDING IN 0143,11.25,Restaurants,Discover
227,2024-03-06,COSTCO GAS #0778 FREMONT CA,36.21,,Citi
228,2024-03-04,Payment Thank You - Web,59.69,,Chase
229,2024-03-04,INTERNET PAYMENT - THANK YOU,486.69,Payments and Credits,Discover
230,2024-03-03,POP MART AMERICAS INC. NEW YORK NYAPPLE PAY ENDING IN 0143,16.4,Merchandise,Discover
231,2024-03-03,SMART TEA SAN JOSE CAAPPLE PAY ENDING IN 0143,5.96,Restaurants,Discover
232,2024-02-29,PAYMENT - THANK YOU,3000.0,,BOA
233,2024-02-27,COSTCO WHSE #0778 FREMONT CA,57.14,,Citi
234,2024-02-27,COSTCO GAS #0778 FREMONT CA,30.77,,Citi
235,2024-02-27,COSTCO WHSE #0778 FREMONT CA,4.4,,Citi
236,2024-02-25,MITSUWA MRKTPLACE SJ,13.99,Groceries,Chase
237,2024-02-24,TAPS PAYMASTER STN #26 831-459-4543 CAAPPLE PAY ENDING IN 0143,5.45,Services,Discover
238,2024-02-24,TOYOTA SUNNYVALE SUNNYVALE CA,3000.0,,BOA
239,2024-02-24,LYFT   *1 RIDE 02-22,26.72,Travel,Chase
240,2024-02-24,PAYMENT - THANK YOU,17.5,,BOA
241,2024-02-23,MITSUWA MRKTPLACE SJ,5.99,Groceries,Chase
242,2024-02-23,TOGGLE INSURANCE WOODLANDHILLSCA,339.38,Services,Discover
243,2024-02-23,MCDONALDS F6641 SAN CARLOS CAAPPLE PAY ENDING IN 0143,1.85,Restaurants,Discover
244,2024-02-22,DOORDASH DASHPASS 6506819470 CAAPPLE PAY ENDING IN 0143,4.99,Payments and Credits,Discover
245,2024-02-21,DOORDASH DASHPASS 6506819470 CAAPPLE PAY ENDING IN 0143,4.99,Restaurants,Discover
246,2024-02-20,PY *LIANGS VILLAGE CUPERTINO CAAPPLE PAY ENDING IN 0143,39.56,Restaurants,Discover
247,2024-02-20,IN-N-OUT FREMONT FREMONT CAAPPLE PAY ENDING IN 014302029R,6.39,Restaurants,Discover
248,2024-02-20,SNACK* CHICHA SAN CHEN 186-68682146 CA,7.72,,Citi
249,2024-02-19,TASA MENG CORPORATION TAOYUAN CITY TW,19.45,,Citi
250,2024-02-17,WANG GROUP TAIPEI TWNAPPLE PAY ENDING IN 01431470.00 @ 00000000.0318959 TWD,46.89,Restaurants,Discover
251,2024-02-13,Kindle Svcs*RB4EN06N1,12.99,Shopping,Chase
252,2024-02-11,Payment Thank You-Mobile,310.3,,Chase
253,2024-02-11,"ONLINE PAYMENT, THANK YOU",,,Citi
254,2024-01-31,FAR EASTERN DEPT 00030 NEW TAIPEI CITWNAPPLE PAY ENDING IN 01431127.00 @ 00000000.0319693 TWD,36.03,Restaurants,Discover
255,2024-01-22,DD *DOORDASH WINGSTOP 6506819470 CAAPPLE PAY ENDING IN 0143,11.14,Restaurants,Discover
256,2024-01-18,INTERNET PAYMENT - THANK YOU,152.06,Payments and Credits,Discover
257,2024-01-16,TASA MENG CORPORATION TAOYUAN CITY TW,29.94,,Citi
258,2024-01-14,HABIT MILLBRAE 370 MILLBRAE CAAPPLE PAY ENDING IN 0143,42.95,Restaurants,Discover
259,2024-01-14,DFS San Francisco Int. San FranciscoCA,49.0,,Citi
260,2024-01-13,SQ *ONE ZO FREMONT CAAPPLE PAY ENDING IN 01430001152921513584399438,7.5,Restaurants,Discover
261,2024-01-13,CVS/PHARMACY #09793,15.05,Health & Wellness,Chase
262,2024-01-12,CHIPOTLE 3005,14.44,Food & Drink,Chase
263,2024-01-06,DAISO BA12 SARATOGA SAN JOSE CA,1.91,,Citi
264,2024-01-06,SQ *PHILZ COFFEE SAN MATEO CAAPPLE PAY ENDING IN 01430002305843019093093096,5.45,Restaurants,Discover
265,2024-01-06,COSTCO GAS #0423 SUNNYVALE CA,36.97,,Citi
266,2024-01-06,STEVES HALLMARK 15 SAN MATEO CAAPPLE PAY ENDING IN 0143,15.88,Merchandise,Discover
267,2024-01-05,MITSUWA MRKTPLACE SJ,20.09,Groceries,Chase
268,2024-01-04,"ONLINE PAYMENT, THANK YOU",,,Citi
269,2024-01-04,SQ *ZERO&amp; TEA AND BOBA,6.95,Food & Drink,Chase
270,2024-01-04,Payment Thank You - Web,285.04,,Chase
271,2024-01-04,KENSHO SOCIAL SAN JOSE CAAPPLE PAY ENDING IN 0143,38.55,Restaurants,Discover
272,2024-01-03,944 GREAT CLIPS AT OSGOO FREMONT CAAPPLE PAY ENDING IN 0143,25.0,Services,Discover
273,2024-01-03,COSTCO WHSE #0778 FREMONT CA,29.43,,Citi
274,2024-01-03,99 RANCH #1701,8.99,Groceries,Chase
275,2024-01-03,COSTCO WHSE #0778 FREMONT CA,4.4,,Citi
276,2024-01-02,BURGER KING #3901 FREMONT CAAPPLE PAY ENDING IN 0143,8.26,Restaurants,Discover
277,2024-01-02,168 MARKET #1703,7.62,Groceries,Chase
278,2024-01-01,PAYPAL *AMERICANRED,100.0,Gifts & Donations,Chase
279,2023-12-28,COSTCO WHSE #0778,137.16,Shopping,Chase
280,2023-12-26,PAYPAL *STEAM GAMES,3.99,Entertainment,Chase
281,2023-12-24,TRADER JOE S #077,64.64,Groceries,Chase
282,2023-12-24,SAFEWAY #0309,28.19,Groceries,Chase
283,2023-12-21,COSTCO WHSE #0778,4.4,Shopping,Chase
284,2023-12-18,USPS PO 0528620421,5.15,Shopping,Chase
285,2023-12-13,99 RANCH #1768,4.48,Groceries,Chase
286,2023-12-13,SNACK* SHARETEA 2855 S,6.75,Food & Drink,Chase
287,2023-12-08,CLIPPER SYSTEMS MOBILE #1,3.0,Travel,Chase
288,2023-12-08,MEET FRESH,19.37,Food & Drink,Chase
289,2023-12-06,Payment Thank You - Web,2593.58,,Chase
290,2023-12-04,TRADER JOE S #062,35.9,Groceries,Chase
291,2023-12-02,CLOVER BAKERY &amp; CAFE,12.0,Food & Drink,Chase
292,2023-11-27,COSTCO WHSE #0778,88.18,Shopping,Chase
293,2023-11-27,99 RANCH #1701,8.99,Groceries,Chase
294,2023-11-16,SUTTR HLTH EBR S3UT HOSP,2192.8,Health & Wellness,Chase
295,2023-11-16,BERKELEY ER MED GROUP INC,338.0,Health & Wellness,Chase
296,2023-11-14,LEGO  Westfield Valley,9.94,Shopping,Chase
297,2023-11-13,MITSUWA MRKTPLACE SJ,3.99,Groceries,Chase
298,2023-11-13,Payment Thank You-Mobile,122.39,,Chase
299,2023-11-04,TRADER JOE S #193,12.33,Groceries,Chase
300,2023-10-30,TRADER JOE S #067,16.96,Groceries,Chase
301,2023-10-28,99 RANCH #1761,19.56,Groceries,Chase
302,2023-10-25,60776 - SFO PARKINGCENTRA,8.0,Travel,Chase
303,2023-10-18,COSTCO WHSE #0149,40.95,Shopping,Chase
304,2023-10-14,99 RANCH #1766,15.27,Groceries,Chase
305,2023-10-13,Whole Foods STZ 10329,5.79,Groceries,Chase
306,2023-10-10,TARGET        00027953,8.71,Shopping,Chase
307,2023-10-10,TARGET        00027953,38.67,Shopping,Chase
308,2023-10-10,RITE AID 05979,5.0,Health & Wellness,Chase
309,2023-09-29,Payment Thank You - Web,283.47,,Chase
310,2023-09-18,LYFT   *1 RIDE 09-16,15.99,Travel,Chase
311,2023-09-18,Zipcar Annual Plan,16.39,Travel,Chase
312,2023-09-17,Zipcar Annual Plan,16.39,Travel,Chase
313,2023-09-13,82858 - TERMINAL A EMPLOY,4.0,Travel,Chase
314,2023-09-05,MINT MOBILE,263.65,Bills & Utilities,Chase
315,2023-08-31,LEMONADE I* LEMONADE I,0.17,Bills & Utilities,Chase
316,2023-07-05,Payment Thank You - Web,39.22,,Chase
317,2023-06-23,Whole Foods CAP 10365,21.23,Groceries,Chase
318,2023-06-17,Spotify USA,9.99,Bills & Utilities,Chase
319,2023-06-16,60774 - SFO PARKING IT-A,8.0,Travel,Chase
320,2023-06-14,Zipcar Trip JUN15,42.06,Travel,Chase
321,2023-06-14,Zipcar Extend JUN24,12.18,Travel,Chase
322,2023-06-14,Zipcar Trip JUN24,108.62,Travel,Chase
323,2023-06-14,Zipcar Extend JUN16,18.02,Travel,Chase
324,2023-06-13,Zipcar Trip JUN15,42.06,Travel,Chase
325,2023-06-13,Zipcar Trip JUN24,108.62,Travel,Chase
326,2023-06-13,Zipcar Extend JUN24,12.18,Travel,Chase
327,2023-06-13,Zipcar Extend JUN16,18.02,Travel,Chase
328,2023-06-04,Payment Thank You-Mobile,6.28,,Chase
329,2023-05-20,MITSUWA MRKTPLACE SJ,1.29,Groceries,Chase
330,2023-05-17,Spotify USA,4.99,Bills & Utilities,Chase
331,2023-05-02,Payment Thank You - Web,32.33,,Chase
332,2023-04-17,Spotify USA,4.99,Bills & Utilities,Chase
333,2023-04-02,Payment Thank You - Web,4.99,,Chase
334,2023-03-31,H MART - DE ANZA,27.34,Groceries,Chase
335,2023-03-17,Spotify USA,4.99,Bills & Utilities,Chase
336,2023-03-09,Payment Thank You - Web,4.99,,Chase
337,2023-02-17,Spotify USA,4.99,Bills & Utilities,Chase
338,2023-02-07,Payment Thank You - Web,146.98,,Chase
339,2023-01-17,Spotify USA,4.99,Bills & Utilities,Chase
340,2023-01-17,LYFT   *1 RIDE 01-15,41.99,Travel,Chase
341,2023-01-14,Amazon Prime,8.18,Bills & Utilities,Chase
342,2023-01-13,Zipcar Trip JAN13,345.2,Travel,Chase
343,2023-01-10,Amazon Prime*BF5PD7RS3,8.18,Bills & Utilities,Chase
